evt LepGood1_charge LepGood2_charge LepGood1_convVeto LepGood2_convVeto LepGood1_lostHits LepGood2_lostHits LepGood1_mvaTTH LepGood2_mvaTTH LepGood1_pdgId LepGood2_pdgId LepGood1_pt LepGood2_pt LepGood1_tightCharge LepGood2_tightCharge met_pt mhtJet25 minMllAFAS nBJetLoose25 nBJetMedium25 nJet25 nLepGood10
2269 1 -1 1 1 0 0 0.860722601414 0.100478358567 -11 11 105.294563293 9.5043554306 2 2 129.315429688 176.351104736 84.2415008545 4 2 5 1
2511 1 -1 1 1 0 0 0.406242340803 -0.913882851601 -11 11 30.3080444336 14.9499149323 2 2 70.4604797363 110.73374939 22.0422954559 2 1 8 2
2520 -1 1 1 1 0 0 0.967454791069 0.118594944477 11 -11 69.3309555054 19.7920417786 2 2 86.5687103271 48.0746116638 74.9638061523 2 2 6 2
2541 1 -1 1 1 0 0 0.966682851315 0.939361393452 -11 11 131.356109619 80.2666168213 2 2 71.9578475952 41.4076004028 207.88218689 3 3 3 2
2776 1 1 1 1 1 0 -0.265322446823 0.247108802199 -11 -11 29.1967697144 17.7812538147 1 2 7.725440979 34.1964797974 35.5176086426 2 1 4 2
11740 -1 -1 1 1 0 0 0.780018508434 0.914574205875 11 11 41.9210548401 39.230091095 2 2 76.9495315552 142.993103027 149.235488892 3 1 3 2
10141 -1 -1 1 1 0 0 0.916685163975 0.93316668272 11 11 48.4045562744 44.4025230408 2 2 154.686798096 121.635017395 57.4268035889 1 0 4 2
19217 -1 1 1 1 0 0 0.931251585484 0.87474578619 11 -11 41.1498794556 25.9362316132 2 2 148.497787476 119.091247559 58.3954277039 2 2 4 2
19252 -1 -1 1 1 0 0 0.821060419083 0.539920210838 11 11 20.9361743927 8.45771503448 2 2 379.33303833 270.614013672 41.4393806458 3 2 6 1
19270 -1 -1 1 1 0 0 0.912728428841 -0.974287092686 11 11 58.5265769958 13.4833145142 2 2 40.8415756226 53.1292228699 39.8234863281 2 1 3 2
22647 -1 -1 1 1 0 0 0.961790204048 0.615747690201 11 11 43.559677124 36.1759262085 2 2 121.580787659 87.9045410156 86.7205734253 3 3 4 2
24007 -1 1 1 1 0 0 0.945163190365 -0.416216999292 11 -11 98.2987594604 11.0396242142 2 2 84.9664382935 116.93812561 33.5738677979 5 2 8 2
20107 -1 1 1 1 0 0 0.929514586926 0.78813958168 11 -11 87.4279708862 18.7957763672 2 2 61.1484146118 39.5663642883 77.9287948608 4 2 7 2
20118 -1 -1 1 1 1 0 -0.0377530865371 0.430414289236 11 11 28.2691421509 15.4628105164 2 2 120.560089111 75.1173934937 45.0559501648 4 0 6 2
161391 1 -1 1 1 0 0 -0.895894110203 -0.798920810223 -11 11 23.1321811676 14.535284996 1 2 28.3798980713 137.166488647 47.6333961487 2 0 7 2
163232 -1 1 1 1 0 0 0.922101318836 0.967508196831 11 -11 195.761291504 71.2216415405 2 2 150.935928345 162.032089233 280.937988281 4 3 5 2
163234 1 1 1 1 0 0 0.875502407551 0.899807333946 -11 -11 201.600326538 113.425132751 2 2 400.582763672 537.918029785 114.465896606 1 1 7 2
163280 1 -1 1 1 0 0 0.930830061436 0.965553462505 -11 11 110.219497681 27.0426177979 2 2 117.239730835 147.474899292 23.9590263367 3 1 6 3
199810 -1 1 1 1 0 0 -0.202446162701 0.89649450779 11 -11 49.1815490723 44.8851280212 2 2 81.3211517334 36.4067420959 39.5341720581 1 1 2 2
199835 1 1 1 1 0 0 0.833303272724 0.787431120872 -11 -11 24.6884727478 23.2803993225 2 2 45.606338501 59.8794937134 68.8156967163 2 0 6 2
199853 -1 -1 1 1 0 0 0.9679864645 -0.729746758938 11 11 76.5504837036 34.4920310974 2 2 48.1100616455 30.0318393707 102.895111084 1 0 3 2
21211 1 -1 1 1 0 0 0.876676797867 0.289739727974 -11 11 58.1049156189 28.9533004761 2 2 28.0620632172 31.2189998627 79.4688262939 2 1 3 2
21247 -1 1 1 1 0 0 0.94399958849 0.827199757099 11 -11 93.1934127808 82.8229370117 0 2 53.7699241638 58.4908409119 115.982749939 0 0 3 2
21272 -1 1 1 1 0 0 0.97117805481 0.344750970602 11 -11 345.634185791 15.7646579742 2 2 68.7492370605 172.030426025 104.756874084 3 1 7 2
21281 1 -1 1 1 0 0 0.918587982655 0.947818934917 -11 11 51.0350456238 38.1994094849 2 2 45.4359779358 123.807220459 22.0643005371 3 1 7 3
40308 1 -1 1 1 0 0 0.858601629734 0.644437611103 -11 11 95.5635910034 26.1793327332 2 2 79.6589813232 111.96434021 193.35824585 2 1 3 2
59364 1 1 1 1 0 0 0.881481170654 0.919503629208 -11 -11 101.463577271 69.9193496704 2 2 52.856136322 87.596824646 63.5101089478 4 3 7 2
59517 1 -1 1 1 0 0 0.920551240444 0.797636210918 -11 11 63.1829032898 41.9647216797 2 2 121.929428101 160.981719971 104.974822998 1 0 3 2
23363 1 -1 1 1 0 0 0.959107100964 0.969206392765 -11 11 89.9240036011 48.9866867065 2 2 93.2437667847 284.028045654 101.285858154 4 3 7 2
42552 1 1 1 1 0 0 0.834130644798 -0.982203185558 -11 -11 78.2443237305 32.2972297668 0 1 28.4993152618 75.2582855225 100.036834717 3 2 6 2
42587 1 1 1 1 0 0 0.894515275955 -0.43804243207 -11 -11 51.2043037415 8.52471160889 2 2 32.309211731 29.1038570404 31.4101829529 2 2 7 1
58339 1 -1 1 1 0 0 0.839763641357 0.18720138073 -11 11 41.6094322205 12.966337204 2 2 24.8124866486 51.3590202332 18.1200008392 1 1 3 2
58357 -1 1 1 1 0 0 0.973131477833 0.463193744421 11 -11 45.6947212219 36.1804275513 2 2 52.1724739075 18.8837776184 104.563041687 1 1 2 2
70920 -1 1 1 1 0 0 0.888423919678 0.223364174366 11 -11 77.2556610107 28.0599594116 2 1 34.7737884521 61.6833839417 57.68201828 2 2 7 2
70927 -1 1 1 1 0 0 0.791026592255 0.735591709614 11 -11 116.853363037 21.2560195923 2 2 156.198745728 91.6076049805 134.67628479 3 2 6 2
70939 1 -1 1 1 0 0 0.861551642418 0.967146456242 -11 11 70.0741653442 53.6412849426 2 2 56.2519187927 53.5084342957 110.721199036 3 2 4 2
30544 1 1 1 1 0 0 -0.961321651936 0.948386967182 -11 -11 33.9922294617 27.216211319 2 2 22.206785202 26.112154007 37.2115058899 4 4 6 2
30576 1 -1 1 1 0 0 0.916880846024 0.885651409626 -11 11 60.1597061157 24.6303215027 2 2 275.272521973 230.603485107 74.0987167358 3 1 10 2
45059 1 -1 1 1 0 0 0.970334887505 0.0932010933757 -11 11 62.243106842 14.9043931961 2 2 39.812828064 22.1457309723 46.7714424133 4 2 4 2
57198 1 1 1 1 0 0 0.856096982956 0.828627586365 -11 -11 145.879089355 105.340431213 2 2 106.202636719 155.259841919 26.9501743317 2 1 4 3
72014 1 -1 1 1 0 0 0.954614579678 0.969509661198 -11 11 110.222953796 59.5794944763 2 2 169.009902954 101.63458252 165.472747803 1 1 3 2
72019 1 -1 1 1 0 0 -0.0979939028621 0.22984559834 -11 11 62.8667488098 48.0870285034 2 1 79.496055603 32.162437439 18.5056838989 1 0 3 2
72020 1 1 1 1 0 0 -0.709153652191 0.45537725091 -11 -11 91.0676956177 77.9829559326 2 0 93.6819915771 43.7308387756 167.327819824 3 1 4 2
72033 1 -1 1 1 0 0 0.959467887878 0.513507783413 -11 11 115.765014648 49.5808410645 2 2 232.537033081 125.467277527 158.073028564 0 0 1 2
72058 1 1 1 1 0 0 0.930853068829 0.898133158684 -11 -11 69.0430297852 42.1306343079 2 2 156.769454956 142.11656189 73.1878356934 1 0 3 2
90044 -1 1 1 1 0 0 0.873907625675 0.839505791664 11 -11 60.2412872314 15.6963186264 2 2 37.0896148682 32.0680770874 48.8855819702 2 1 6 2
90050 -1 1 1 1 0 0 0.382098048925 -0.939680755138 11 -11 43.1668167114 18.0875244141 2 2 29.9611186981 83.8552398682 49.2800521851 1 1 2 2
90064 1 -1 1 1 0 0 0.918147683144 -0.996822118759 -11 11 122.115791321 48.2499771118 2 2 71.0594024658 111.938499451 92.7999725342 0 0 2 2
110061 -1 1 1 1 0 0 0.938635587692 0.766717851162 11 -11 33.1748695374 21.5211620331 2 2 115.098205566 25.5106372833 32.4452590942 3 1 6 2
130713 -1 1 1 1 0 0 0.936868190765 0.57111364603 11 -11 192.66998291 16.587436676 2 2 50.5590057373 71.1299667358 57.8295936584 4 4 6 2
130790 1 -1 1 1 0 1 0.416531711817 -0.929213881493 -11 11 17.6003627777 14.7429962158 2 2 43.2872848511 28.723323822 74.9754638672 3 2 7 2
131318 1 1 1 1 0 0 0.725866496563 0.806160092354 -11 -11 44.7558898926 25.6535110474 2 2 165.651153564 123.955482483 54.2722663879 1 0 2 3
101894 -1 1 1 0 0 0 0.932830810547 0.825542509556 11 -11 120.543533325 24.3315010071 2 2 63.4516830444 66.5532836914 25.8430213928 3 1 5 2
130535 1 -1 1 1 0 0 0.930239975452 -0.420808047056 -11 11 64.3261184692 31.0821380615 2 2 59.7061920166 72.2496109009 88.9049453735 3 2 4 2
130538 -1 1 1 1 0 0 0.933527648449 0.883408010006 11 -11 132.22354126 50.5603103638 2 2 161.729827881 201.91305542 94.9466552734 2 1 6 3
130558 1 -1 1 1 0 0 0.917961716652 0.965684890747 -11 11 106.880943298 50.4012527466 2 2 163.584060669 155.708847046 41.0278015137 2 1 5 2
148075 1 -1 1 1 0 0 0.896548628807 -0.909290313721 -11 11 126.587348938 13.9268960953 2 2 68.3218307495 97.0461120605 51.9367980957 2 2 5 2
146712 -1 1 1 1 0 0 0.814268052578 -0.233753800392 11 -11 99.6894226074 28.2608089447 2 2 68.5490646362 65.3577957153 24.3343811035 2 2 4 3
146741 1 -1 1 1 0 0 -0.0682532936335 0.91235345602 -11 11 306.72052002 25.5433006287 2 2 260.387176514 323.105957031 193.763366699 3 2 6 2
146783 -1 1 1 1 0 0 -0.0511008687317 0.337110370398 11 -11 30.7787342072 17.7771320343 2 2 103.488212585 83.9920425415 61.8861274719 3 0 3 2
146787 1 -1 1 1 0 0 0.926853060722 0.693164408207 -11 11 23.1080760956 13.820813179 2 2 95.9397506714 137.490356445 29.7212657928 2 2 4 2
152832 1 -1 1 1 0 0 0.9614148736 0.757390201092 -11 11 46.8535957336 38.1513938904 2 2 36.7936439514 34.6953239441 16.4744796753 3 3 3 2
152845 -1 1 1 1 0 0 -0.688270688057 0.788007557392 11 -11 199.131362915 154.80581665 2 2 106.038398743 67.5380706787 342.050811768 4 3 7 2
196973 -1 1 1 1 0 0 -0.236899882555 0.938806295395 11 -11 115.104431152 68.7622299194 2 2 62.3897972107 56.8017539978 171.737945557 2 1 5 2
176437 1 1 1 1 0 0 -0.15520131588 -0.316416561604 -11 -11 23.5212860107 17.1666717529 2 2 124.468955994 123.320411682 34.5536193848 2 1 4 2
176446 1 -1 1 1 0 0 -0.158729076385 0.0829672962427 -11 11 245.742202759 14.5611772537 2 2 14.6856584549 133.836761475 60.8602828979 2 0 6 2
176448 -1 -1 1 1 0 0 -0.757494211197 0.393655121326 11 11 33.2325439453 8.55387115479 2 2 32.6514472961 77.204574585 24.3385505676 2 2 5 1
176469 1 -1 1 1 0 0 0.928996026516 -0.972412407398 -11 11 147.931167603 9.89499950409 2 2 105.813812256 99.889289856 57.855140686 3 2 4 1
176490 -1 1 1 1 0 0 0.90608048439 0.859156131744 11 -11 125.283035278 42.6105766296 2 2 53.8942489624 92.1511154175 97.6150817871 2 2 4 2
176493 1 -1 1 1 0 0 -0.466602563858 0.168188765645 -11 11 21.9259357452 21.1050453186 2 2 91.2332000732 77.3572158813 77.0369644165 3 1 3 2
178834 -1 1 1 1 0 0 0.957672059536 0.231387630105 11 -11 46.2785453796 15.3986063004 2 2 71.7335891724 34.3195495605 53.9914474487 3 2 5 2
178879 1 1 1 1 0 0 0.91395419836 0.880240023136 -11 -11 103.252304077 56.1195411682 2 2 214.098129272 173.446029663 11.9083471298 2 1 4 2
178891 -1 1 1 1 0 0 0.975057005882 0.97118473053 11 -11 90.3769302368 74.4302978516 2 2 14.5411291122 104.211265564 89.7216415405 2 1 6 2
182055 1 -1 1 1 0 0 0.867706298828 0.830137372017 -11 11 32.4398727417 17.8890571594 2 2 47.0411911011 102.902412415 43.356842041 2 1 4 2
182088 -1 1 1 1 0 0 0.929225027561 0.732236266136 11 -11 103.734703064 66.2619476318 2 2 15.6532735825 35.1600189209 123.154922485 2 1 5 2
186730 1 -1 1 1 0 0 0.932713627815 0.456441700459 -11 11 85.8749008179 25.2313156128 2 2 238.69593811 219.401412964 141.684066772 1 1 6 2
186731 -1 -1 1 1 0 0 0.949142158031 0.404213398695 11 11 25.809129715 25.4282722473 2 2 45.3495826721 71.4715805054 69.3176269531 3 1 7 2
4709 1 -1 1 1 0 0 0.568855524063 -0.69701975584 -11 11 35.8006095886 25.1708316803 2 2 148.460952759 120.035194397 79.9303817749 4 1 6 2
5049 -1 1 1 1 0 0 0.737008333206 0.951950907707 11 -11 45.6955032349 44.7979316711 2 2 100.987251282 33.7755699158 52.32421875 0 0 4 2
5084 -1 -1 1 0 0 0 0.955048620701 -0.416104048491 11 11 67.5532302856 42.5877876282 2 2 59.5770797729 31.390750885 209.1146698 1 0 4 2
5437 -1 1 1 1 0 0 0.578843593597 -0.962255835533 11 -11 20.1162242889 13.2877826691 2 2 101.306060791 36.1192245483 27.044418335 1 1 5 2
8509 -1 -1 1 1 0 0 0.960206627846 0.790022432804 11 11 97.8878631592 17.4669265747 2 2 27.5466213226 41.0717010498 94.111541748 3 3 3 2
8534 -1 1 1 1 0 0 0.526673257351 -0.978956282139 11 -11 18.2539787292 14.8689002991 2 2 63.8064155579 52.7136535645 31.4384784698 1 0 2 2
8545 1 -1 1 1 0 0 0.809763908386 0.884727060795 -11 11 59.5124588013 40.4679069519 2 2 85.487121582 111.415786743 49.6429176331 4 3 5 2
8560 -1 1 1 1 0 0 0.964210271835 0.923240959644 11 -11 68.3876571655 30.940404892 2 2 111.181335449 85.7278747559 77.5925674438 3 2 4 2
37703 1 -1 1 1 0 0 0.961068868637 0.961714863777 -11 11 84.9175720215 78.9927062988 2 2 147.389312744 77.922164917 32.707775116 3 2 8 2
37709 -1 1 1 1 0 0 0.975278258324 0.967278718948 11 -11 79.4674682617 42.4647979736 2 2 166.732376099 87.680519104 77.2072143555 2 2 4 2
38215 1 1 1 1 0 0 0.898127555847 0.0313646569848 -11 -11 39.8142814636 18.3634586334 2 2 73.5788803101 72.0587310791 67.0196456909 2 2 3 2
38256 -1 1 1 1 0 0 0.914375722408 0.245898842812 11 -11 73.4062805176 35.1022834778 2 2 175.329330444 105.126609802 124.551635742 2 1 4 2
49519 1 1 1 1 0 0 -0.363994002342 -0.945811629295 -11 -11 29.748298645 15.9772939682 2 2 93.2701187134 78.0152130127 38.4627037048 0 0 4 2
49540 -1 1 1 1 0 0 0.895315170288 0.886401116848 11 -11 61.5183525085 43.3824157715 2 2 98.8481292725 35.7838935852 71.0254516602 2 1 4 3
49553 -1 1 1 1 0 0 0.594687283039 0.852033853531 11 -11 61.1888427734 55.7490501404 2 2 55.2269592285 82.2409820557 126.656341553 2 1 2 2
49592 1 -1 1 1 0 0 0.789609372616 -0.967626035213 -11 11 50.0473518372 30.0966110229 2 2 135.173553467 134.872268677 51.9380912781 3 2 5 2
49600 -1 1 1 1 0 0 0.906737744808 0.235673710704 11 -11 61.9370651245 16.3082294464 2 2 95.4194488525 76.6498413086 24.4932460785 2 2 3 3
37540 -1 1 1 1 0 0 0.93426156044 0.877663969994 11 -11 84.7613983154 83.5498733521 2 2 6.98879241943 92.1087341309 165.349487305 0 0 4 2
38393 1 -1 1 1 0 0 0.720787405968 -0.38271895051 -11 11 63.066608429 9.84700298309 2 2 127.431350708 86.4780578613 3.1529006958 5 4 8 1
52010 -1 1 1 1 0 1 0.945578694344 0.612586677074 11 -11 146.494598389 17.2371025085 2 2 67.6575317383 12.5028533936 65.1151580811 7 5 9 2
53308 1 1 1 1 0 0 0.966993927956 0.169283047318 -11 -11 88.0906066895 69.2316970825 2 2 94.1492004395 113.884819031 128.29675293 1 1 5 2
53312 -1 -1 1 1 0 0 0.886552333832 0.970332324505 11 11 53.4270935059 49.4596557617 2 2 60.0272941589 90.4085388184 18.018404007 2 1 4 4
53325 1 -1 1 1 0 0 0.872941553593 0.804337382317 -11 11 127.050971985 45.2176437378 2 2 131.883789062 110.669677734 145.727981567 5 1 6 2
55734 -1 -1 1 1 0 0 0.96053647995 0.932065844536 11 11 54.8162956238 36.3821258545 2 2 16.9990577698 71.9942321777 78.0365447998 3 1 5 2
66068 1 1 1 1 0 0 -0.973376214504 0.8044064641 -11 -11 63.0446434021 30.5788574219 2 2 81.4277801514 60.3772315979 76.5933227539 3 2 6 2
107305 1 -1 0 1 0 0 0.849993646145 0.604471385479 -11 11 48.7450408936 43.4638442993 2 2 51.6893463135 102.996063232 58.5433158875 1 0 2 2
107317 -1 1 1 1 0 0 -0.315637141466 0.934089958668 11 -11 69.51953125 35.3593025208 2 2 70.8544235229 60.8875083923 53.317024231 3 1 5 2
107332 1 -1 1 1 0 0 0.619904339314 0.260144978762 -11 11 41.0996589661 26.5053825378 2 2 97.3836746216 118.613052368 59.6103401184 0 0 1 2
107360 1 1 1 0 0 0 0.299967110157 -0.861246824265 -11 -11 78.9416427612 36.832901001 2 2 62.8681373596 130.432128906 7.26122093201 2 2 6 2
108203 1 -1 1 1 0 0 -0.950599193573 -0.266209334135 -11 11 72.7870101929 16.6131839752 2 2 205.360702515 237.140686035 95.0494995117 0 0 3 2
108222 1 1 1 1 0 0 0.743038415909 0.934376120567 -11 -11 82.411895752 62.7588768005 2 2 159.383224487 140.846405029 151.157592773 3 3 3 2
63832 -1 1 1 1 0 0 -0.637041926384 0.963507294655 11 -11 142.833877563 73.7828445435 2 2 248.098205566 263.149291992 91.7856674194 4 3 8 2
63849 -1 1 1 1 0 0 0.942775011063 0.716999232769 11 -11 57.6353912354 21.784866333 2 2 33.5290145874 60.3617858887 73.3603591919 2 2 4 2
63857 -1 1 1 1 0 0 -0.313654184341 0.598532557487 11 -11 19.5184555054 11.9151391983 2 2 72.3796005249 93.1008377075 8.39998245239 2 1 2 2
63870 -1 1 1 1 0 0 0.946832954884 0.829685509205 11 -11 122.345397949 54.983089447 2 2 97.9377441406 49.2752685547 128.437896729 4 4 4 2
63884 1 -1 1 1 0 0 0.55932867527 -0.980202913284 -11 11 18.1772594452 8.82035636902 2 2 32.7632865906 35.2795791626 6.91258859634 2 1 8 1
64314 -1 1 1 1 0 0 0.891478359699 0.847396314144 11 -11 63.2461395264 22.0779781342 2 2 112.503952026 100.705802917 18.0912742615 2 2 5 2
64378 -1 1 1 1 0 0 0.727136909962 0.859417617321 11 -11 123.498985291 42.7189064026 2 2 145.1900177 121.126174927 32.9406280518 4 2 9 2
64422 1 1 1 1 0 0 0.0863139182329 0.591846704483 -11 -11 57.6304397583 48.6213340759 2 2 304.605987549 368.201202393 43.3378639221 1 1 3 3
64441 -1 1 1 1 0 0 0.748964846134 0.310190409422 11 -11 28.4995098114 8.931224823 2 2 132.39050293 94.3897781372 8.17991733551 3 2 3 1
64447 1 -1 1 1 0 0 0.91548115015 0.959634721279 -11 11 26.233423233 20.4299373627 2 2 35.4765281677 34.5158843994 80.722038269 5 4 6 2
64451 1 -1 1 1 0 0 0.965764701366 0.0693138465285 -11 11 101.612289429 36.3305053711 2 2 51.4457588196 60.2977218628 86.7821350098 2 2 4 2
64466 1 1 0 1 1 0 0.58999735117 0.945381879807 -11 -11 144.749755859 52.449054718 1 2 13.4032487869 33.5640602112 175.893310547 3 1 4 2
64499 1 -1 1 1 0 0 0.59453701973 0.90328592062 -11 11 248.034606934 112.220016479 2 2 16.1812095642 38.404132843 301.158782959 2 2 5 2
66316 -1 1 1 1 0 0 0.929501414299 0.591283857822 11 -11 158.596450806 61.0305786133 2 2 14.7423400879 56.4197769165 202.479049683 2 2 4 2
66360 1 -1 1 1 0 0 0.925450026989 0.804447174072 -11 11 64.341468811 38.739490509 2 2 89.4573059082 7.73313474655 67.5858078003 2 0 7 2
64917 -1 1 1 1 0 0 0.895159900188 -0.980925917625 11 -11 47.8605728149 42.0731124878 2 2 15.6832828522 56.2751426697 103.850822449 1 0 2 2
64940 1 -1 1 1 0 0 0.870830535889 -0.393769353628 -11 11 37.8450241089 29.9750804901 2 2 26.6199436188 93.5383453369 66.4228973389 4 3 5 2
109301 -1 -1 1 0 0 0 0.944870889187 -0.937412619591 11 11 50.6303405762 24.6023521423 2 1 78.190612793 54.5860595703 69.9536972046 4 4 4 2
120209 -1 1 0 1 0 0 0.929537892342 0.0294637270272 11 -11 28.5167560577 10.4586811066 2 2 103.399291992 39.6667137146 33.3939056396 2 2 5 2
82785 -1 -1 1 1 0 0 0.963428735733 0.970797777176 11 11 114.289382935 34.2158203125 2 2 267.669342041 154.615707397 87.6384735107 3 2 5 2
84602 -1 1 1 1 0 0 0.198828831315 -0.587171435356 11 -11 38.6577110291 19.0751590729 2 2 5.87303686142 11.2552461624 42.1369400024 3 3 5 2
84608 1 -1 1 1 0 0 0.69820189476 0.165862753987 -11 11 23.5139064789 20.6527500153 2 2 135.211212158 41.6879386902 28.3586959839 4 2 7 2
84623 1 -1 1 1 0 0 0.922199070454 0.827988684177 -11 11 68.779510498 28.4628925323 2 2 114.419937134 71.6651382446 72.7352752686 1 0 4 2
84666 -1 1 1 1 0 0 0.966833949089 0.517059743404 11 -11 83.3203125 63.0399703979 2 2 47.7400283813 83.8406143188 28.2228012085 3 1 6 2
84674 1 -1 1 1 0 0 0.930239975452 0.838326096535 -11 11 244.420562744 66.8777694702 2 2 200.790328979 296.531585693 274.610198975 3 2 5 2
85010 -1 1 1 0 0 0 0.963747918606 -0.4104360044 11 -11 69.6845703125 44.7319641113 2 2 52.2532844543 74.5879058838 75.0549850464 0 0 2 2
95221 -1 1 1 1 0 0 -0.582516551018 -0.0444542355835 11 -11 34.0436172485 22.9324245453 2 2 49.2766723633 61.2848243713 55.5432128906 2 1 3 2
95260 1 -1 1 1 0 0 -0.651447534561 -0.666370391846 -11 11 23.7634410858 18.862947464 2 1 33.3378334045 106.220573425 17.431974411 3 0 8 2
95269 -1 1 1 1 0 0 0.577592432499 -0.0593316480517 11 -11 84.8722000122 36.9935722351 2 2 33.9298095703 35.076751709 83.9887695312 2 2 5 2
95289 1 -1 1 1 0 0 0.918936431408 0.00490343663841 -11 11 51.4149055481 46.5139503479 2 2 90.9527282715 119.528305054 104.310569763 2 2 4 2
116814 1 1 1 1 0 0 0.529286086559 0.367894619703 -11 -11 27.3489112854 9.278632164 0 2 113.579055786 76.8794174194 39.220954895 1 1 5 1
116837 -1 1 1 1 0 0 0.659307360649 -0.652271330357 11 -11 25.9896087646 14.5958690643 2 2 114.666099548 81.7479705811 65.9960403442 1 0 3 2
116899 -1 1 1 1 0 0 0.703826189041 0.595188856125 11 -11 39.9651603699 19.5645465851 2 2 37.5697212219 24.6825084686 95.3571929932 5 5 8 2
117403 -1 1 1 1 0 0 0.955563127995 0.830377519131 11 -11 205.866516113 70.6494750977 2 2 260.037811279 135.219009399 71.0992507935 2 2 4 3
117408 -1 -1 1 1 0 0 0.665895700455 0.791204750538 11 11 32.8248214722 28.4654045105 2 2 97.5420074463 139.492996216 77.9771957397 1 1 3 2
117498 1 1 1 1 0 0 0.873358428478 -0.550171136856 -11 -11 131.450180054 13.0893726349 2 2 97.7310714722 94.5613555908 38.6130027771 1 0 2 2
127415 -1 1 1 1 0 0 0.849018394947 -0.703833043575 11 -11 52.4035224915 44.5926208496 2 2 62.8008117676 43.8038330078 92.2498931885 4 1 5 3
127418 1 -1 1 1 0 0 -0.678415894508 0.935491502285 -11 11 154.039093018 80.9245071411 2 2 94.5901947021 193.312667847 320.701263428 3 2 5 2
127439 -1 1 1 1 0 0 0.913589835167 0.815923750401 11 -11 47.3960075378 44.7256774902 2 2 298.352813721 291.947540283 105.080383301 5 3 7 2
127490 1 -1 1 1 0 0 -0.122006647289 -0.261357784271 -11 11 54.2922859192 21.2841567993 2 2 38.4631729126 155.093643188 86.9006576538 2 1 7 2
127510 -1 1 1 1 0 0 0.239013999701 0.957025706768 11 -11 161.548568726 56.8369178772 2 2 163.681533813 139.591964722 211.687423706 4 2 6 2
