evt,LepGood1_charge,LepGood2_charge,LepGood1_convVeto,LepGood2_convVeto,LepGood1_lostHits,LepGood2_lostHits,LepGood1_mvaTTH,LepGood2_mvaTTH,LepGood1_pdgId,LepGood2_pdgId,LepGood1_pt,LepGood2_pt,LepGood1_tightCharge,LepGood2_tightCharge,met_pt,mhtJet25,minMllAFAS,nBJetLoose25,nBJetMedium25,nJet25,nLepGood10
2250,-1,1,1,1,0,0,0.915792524815,-0.755181252956,13,-13,51.2582740784,11.5687332153,2,2,96.9652481079,85.7753448486,54.2850799561,1,1,3,2
2256,-1,1,1,1,0,0,-0.649690687656,-0.365914940834,13,-13,21.1638774872,19.6609592438,2,2,16.5220985413,15.9095726013,40.961227417,2,1,6,2
2270,1,1,1,1,0,0,0.977170586586,-0.862716674805,-13,-13,87.6411209106,6.37552261353,2,2,121.501358032,91.8655319214,59.2856903076,2,2,5,1
2295,-1,-1,1,1,0,0,0.968991219997,0.955015063286,13,13,154.955307007,96.4555358887,2,2,102.923316956,104.846244812,209.766983032,2,1,5,2
2550,-1,1,1,1,0,0,0.950950443745,-0.964090764523,13,-13,19.9684581757,15.4377002716,2,2,58.5907363892,110.134384155,38.5706100464,1,1,4,2
2574,1,-1,1,1,0,0,0.969752967358,-0.314572662115,-13,13,58.0846557617,5.11323785782,2,2,129.478439331,121.722717285,40.5463180542,2,2,6,1
2597,-1,-1,1,1,0,0,0.522828221321,0.959254205227,13,13,57.5254821777,46.4981536865,2,2,42.4589157104,33.0788421631,82.0608520508,3,1,5,2
2600,1,1,1,1,0,0,0.072267703712,0.973443210125,-13,-13,49.6547813416,20.9451293945,2,2,128.925857544,72.2421722412,30.5104084015,1,1,6,2
2745,1,-1,1,1,0,0,0.971272528172,0.408957630396,-13,13,49.2771377563,16.8714618683,2,2,52.2351570129,63.2441329956,46.5814628601,2,1,7,2
11736,1,-1,1,1,0,0,0.947631239891,0.682535946369,-13,13,35.8990020752,16.5668678284,2,2,76.4657516479,62.1933898926,69.8753585815,1,0,5,2
11750,1,-1,1,1,0,0,0.927658319473,0.978827655315,-13,13,121.419807434,70.7020645142,2,2,61.0545120239,124.347991943,198.997833252,3,3,3,2
11753,1,1,1,1,0,0,-0.136230543256,-0.436389267445,-13,-13,9.56281089783,5.91876173019,2,2,121.703224182,138.952865601,7.45494699478,3,1,5,0
11798,-1,-1,1,1,1,0,0.976342380047,0.928604364395,13,13,86.7814331055,42.6931037903,2,2,188.834609985,169.158096313,79.6081085205,2,1,8,2
10159,1,-1,1,1,0,0,0.311714857817,-0.989447712898,-13,13,38.786113739,8.07141876221,2,2,71.4833374023,43.2082862854,52.8558731079,1,0,2,1
10192,-1,1,1,1,0,0,0.983595430851,0.916473329067,13,-13,98.5061187744,47.955619812,2,2,28.9921607971,39.8074264526,136.252975464,2,2,5,2
19228,-1,-1,1,1,0,0,0.984036326408,-0.561485350132,13,13,143.092544556,5.32456922531,2,2,80.9716720581,106.332801819,46.7135848999,2,0,5,1
19233,1,-1,1,1,0,0,0.923559427261,0.957930326462,-13,13,67.2140579224,57.289680481,2,2,72.9652709961,82.7491760254,121.139846802,2,0,5,2
19283,-1,1,1,1,0,0,0.966581404209,0.757048070431,13,-13,21.8175468445,18.2978305817,2,2,95.1501846313,76.8120346069,49.8316459656,2,1,5,2
22643,-1,1,1,1,0,0,0.981200158596,0.98448652029,13,-13,227.557266235,36.2283477783,2,2,260.447753906,319.791381836,168.600387573,1,1,5,2
22649,-1,1,1,1,0,0,0.947635531425,0.113222517073,13,-13,34.0963058472,15.3534803391,2,2,158.153274536,48.612739563,32.1145782471,4,3,5,2
22673,1,-1,1,1,0,0,0.958389699459,-0.92630892992,-13,13,76.267364502,18.8140106201,2,2,51.5673217773,76.8499450684,36.4495239258,1,0,4,3
24098,-1,1,1,1,0,0,0.983072638512,0.97730576992,13,-13,48.2628479004,46.3174133301,2,2,108.513381958,162.820480347,66.1608123779,3,2,5,2
20131,1,-1,1,1,0,0,0.958599627018,0.0447586290538,-13,13,126.230018616,68.2463760376,2,2,29.6283245087,33.6294898987,178.120147705,3,2,4,2
20158,1,-1,1,1,0,0,0.984985232353,0.931685268879,-13,13,107.111381531,39.5170974731,2,2,40.8304595947,40.5543556213,142.809341431,1,1,4,2
20174,1,1,1,1,0,0,0.981579065323,0.973657906055,-13,-13,81.6091842651,29.8828792572,2,2,141.422683716,77.7381515503,95.2758865356,2,0,5,2
161328,-1,1,1,1,0,0,0.975230574608,0.613953888416,13,-13,149.179992676,35.0290985107,2,2,132.085067749,128.690216064,121.729202271,2,2,6,2
161366,1,-1,1,1,0,0,0.750504314899,0.408176332712,-13,13,77.1379852295,40.7500343323,2,2,178.064071655,111.317947388,107.287986755,3,2,7,2
163247,-1,1,1,1,0,0,0.96881043911,0.934016346931,13,-13,38.6128158569,31.9959106445,2,2,51.2660560608,27.3018875122,58.2185974121,0,0,4,2
199804,1,1,1,1,0,0,0.978864908218,0.0676011741161,-13,-13,19.5807628632,12.7090854645,2,2,71.9937973022,71.6482467651,28.3645553589,5,4,6,2
199849,-1,1,1,1,0,0,0.716228783131,0.859466016293,13,-13,63.131565094,40.9257926941,2,2,176.370483398,91.1561355591,138.533325195,1,1,3,2
199859,-1,1,1,1,0,0,0.985108792782,0.980137705803,13,-13,67.2763595581,48.8302230835,2,2,39.352722168,38.462310791,137.07270813,3,1,5,2
199892,1,-1,1,1,0,0,0.986153662205,0.274040877819,-13,13,244.621780396,15.4135551453,2,2,148.464675903,126.946929932,89.4440231323,4,3,9,2
21214,1,-1,1,1,0,0,0.982120275497,0.951804697514,-13,13,51.9688339233,20.9930973053,2,2,101.831741333,94.4658966064,72.6911697388,2,1,6,2
21231,1,-1,1,1,0,0,0.370001316071,0.549610972404,-13,13,32.2949752808,22.7108974457,2,2,61.8449287415,54.7883415222,3.50948405266,2,1,5,2
21264,-1,1,1,1,0,0,0.977915108204,0.973682284355,13,-13,145.792861938,21.9332103729,2,2,136.086608887,131.469299316,42.2842674255,3,1,9,2
40365,1,-1,1,1,0,0,0.938205480576,0.958824396133,-13,13,65.2401580811,19.1148338318,2,2,66.3996658325,35.810131073,69.7624664307,2,2,6,2
